Feature,Class,Avg_Potency_SHAP,Avg_Overall_Impact_SHAP,Avg_Mean_Abund_in_High_Abund_TPs,Avg_Proportion_of_TPs_with_Feature,Avg_Fold_Change_TP_vs_nonTP,Num_Runs_Found,Train_Fold_Change,inter_run_robustness,intra_run_robustness,total_robustness_factor,robust_potency,robust_avg_fold_change
Paenibacillus,early,0.025922839,0.025649967,308.68085,0.98947368,13.223347,20,11.5870771041837,1,0.98947368,0.98947368,0.02564996690137752,13.223347
Kitasatospora,early,0.0062758851,0.0060116373,36.714286,0.95789474,5.4076174,20,4.67264253066739,1,0.95789474,0.95789474,0.006011637326134373,5.4076174
Nitrosospira,early,0.0044319259,0.0041986666,12.522222,0.94736842,4.2305027,20,4.50862243706178,1,0.94736842,0.94736842,0.0041986666374400775,4.2305027
Pseudolabrys,early,0.0040432325,0.0040432325,186.50526,1,2.3587382,20,2.30919796848127,1,1,1,0.0040432325,2.3587382
Bacillus,early,0.0040366721,0.0040366721,323.37895,1,2.7817126,20,3.06079197224475,1,1,1,0.0040366721,2.7817126
Genus_NA_Rep_ASV69,early,0.0037436509,0.0037436509,187.84211,1,3.70043,20,3.47197972019462,1,1,1,0.0037436509,3.70043
Candidatus.Udaeobacter,early,0.0033039089,0.0033039089,247.85263,1,2.6487502,20,3.11088983104615,1,1,1,0.0033039089,2.6487502
Mycobacterium,early,0.0024186301,0.0024186301,495.37895,1,2.9005114,20,2.64821111567996,1,1,1,0.0024186301,2.9005114
Genus_NA_Rep_ASV200,early,0.0023867893,0.0023867893,263.64211,1,2.394311,20,2.33230803080981,1,1,1,0.0023867893,2.394311
Genus_NA_Rep_ASV45,early,0.0023480023,0.0023480023,167.24211,1,2.241389,20,2.1958105553273,1,1,1,0.0023480023,2.241389
Genus_NA_Rep_ASV800,early,0.002331867,0.002307321,62.93617,0.98947368,2.6292108,20,2.85937866664093,1,0.98947368,0.98947368,0.00230732102176056,2.6292108
Bryobacter,early,0.0019706646,0.0019499208,120.17021,0.98947368,2.5657843,20,2.57449958479924,1,0.98947368,0.98947368,0.0019499207538077282,2.5657843
Genus_NA_Rep_ASV627,early,0.0015874579,0.0015874579,121.83158,1,2.7371431,20,2.6588168257118,1,1,1,0.0015874579,2.7371431
Genus_NA_Rep_ASV313,early,0.0014504353,0.0014351675,34.585106,0.98947368,2.9820905,20,2.59942853942423,1,0.98947368,0.98947368,0.001435167553892904,2.9820905
Pantoea,early,0.0021719498,0.0013946204,24.95082,0.64210526,34.194187,20,11.8646218805325,1,0.64210526,0.64210526,0.001394620391035948,34.194187
Streptomyces,late,0.02803625,0.02803625,339.06732,1,3.0923402,20,3.00719996900441,1,1,1,0.02803625,3.0923402
Lechevalieria,late,0.026470832,0.026470832,354.38005,1,15.29802,20,11.984560713055,1,1,1,0.026470832,15.29802
Genus_NA_Rep_ASV116,late,0.015740363,0.015740363,62.2743,1,2.0711241,20,1.33449312474745,1,1,1,0.015740363,2.0711241
Galbitalea,late,0.014533903,0.014533903,164.25437,1,1.6213869,20,1.35577700096254,1,1,1,0.014533903,1.6213869
Genus_NA_Rep_ASV564,late,0.01562066,0.013580773,45.878013,0.86942029,18.451896,20,17.4919908375679,1,0.86942029,0.86942029,0.0135809187471914,18.451896
Rhodoferax,late,0.0124391,0.0124391,52.334034,1,2.1886169,20,1.22505247375334,1,1,1,0.0124391,2.1886169
Salinibacterium,late,0.014079694,0.011629541,16.541892,0.82589372,2.4816712,20,1.34322742472144,1,0.82589372,0.82589372,0.01162833085412168,2.4816712
Actinocorallia,late,0.0082734545,0.0082734545,139.34162,1,3.9849807,20,2.32485108793619,1,1,1,0.0082734545,3.9849807
Genus_NA_Rep_ASV231,late,0.0079079934,0.0079079934,53.039541,1,2.5415743,20,2.43444455167807,1,1,1,0.0079079934,2.5415743
Catenulispora,late,0.0099428748,0.0075621287,118.35286,0.76060386,5.2945689,20,6.39654855098421,1,0.76060386,0.76060386,0.007562588952376728,5.2945689
Promicromonospora,late,0.0085797857,0.0070861172,34.697297,0.82589372,20.04458,20,19.487612332575,1,0.82589372,0.82589372,0.007085991128575804,20.04458
Lapillicoccus,late,0.0058451556,0.0058451556,51.412391,1,2.2991173,20,3.11707775906908,1,1,1,0.0058451556,2.2991173
Niastella,late,0.0058686784,0.0054853436,36.615421,0.93471014,10.785782,20,7.3702375598584,1,0.93471014,0.93471014,0.005485513208878976,10.785782
Pedococcus.Phycicoccus,late,0.0053227808,0.0053227808,83.032222,1,1.7086521,20,2.07120401334332,1,1,1,0.0053227808,1.7086521
Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium,late,0.005194322,0.005194322,65.253188,1,2.523204,20,2.43810811545857,1,1,1,0.005194322,2.523204
Aetherobacter,middle,0.031877597,0.031877597,60.493142,1,14.627508,20,11.611059394025,1,1,1,0.031877597,14.627508
Genus_NA_Rep_ASV23,middle,0.020672419,0.020672419,319.78669,1,4.4182857,20,5.54619715958816,1,1,1,0.020672419,4.4182857
Flavobacterium,middle,0.02010302,0.02010302,499.52559,1,7.1704169,20,8.54863795434086,1,1,1,0.02010302,7.1704169
Arenimonas,middle,0.018338639,0.018338639,82.557296,1,4.6463481,20,4.6192125352162,1,1,1,0.018338639,4.6463481
Polaromonas,middle,0.017210798,0.017210798,47.969444,1,6.0352606,20,7.57189207556678,1,1,1,0.017210798,6.0352606
Rhodoferax,middle,0.011926737,0.011926737,46.262071,1,2.543764,20,4.58186608862005,1,1,1,0.011926737,2.543764
Genus_NA_Rep_ASV116,middle,0.010456275,0.010456275,52.808077,1,2.0872732,20,3.5793018268611,1,1,1,0.010456275,2.0872732
Genus_NA_Rep_ASV459,middle,0.01009412,0.01009412,42.593874,1,3.5043542,20,7.15241066995459,1,1,1,0.01009412,3.5043542
Herpetosiphon,middle,0.01008373,0.0098715505,24.02606,0.9789581,5.4993834,20,8.49206277062206,1,0.9789581,0.9789581,0.009871549161713001,5.4993834
Genus_NA_Rep_ASV954,middle,0.0093381565,0.0092338018,11.697237,0.98843738,8.2208347,20,9.96239517036202,1,0.98843738,0.98843738,0.00923018294488997,8.2208347
Cellvibrio,middle,0.0090592259,0.0090592259,15.60514,1,4.9271235,20,8.64761248559315,1,1,1,0.0090592259,4.9271235
Galbitalea,middle,0.0086625031,0.0086625031,178.87494,1,2.5567278,20,3.17948880612932,1,1,1,0.0086625031,2.5567278
Fluviicola,middle,0.0084598521,0.0084598521,12.276331,1,7.4948555,20,9.47049355717855,1,1,1,0.0084598521,7.4948555
Emticicia,middle,0.0091361583,0.0080787577,9.0084536,0.88426955,10.861272,20,20.9665854617919,1,0.88426955,0.88426955,0.008078826588669765,10.861272
Devosia,middle,0.0077833669,0.0077833669,264.68276,1,3.3530461,20,3.91684098590746,1,1,1,0.0077833669,3.3530461
