Feature,Class,Avg_Potency_SHAP,Avg_Overall_Impact_SHAP,Avg_Mean_Abund_in_High_Abund_TPs,Avg_Proportion_of_TPs_with_Feature,Avg_Fold_Change_TP_vs_nonTP,Num_Runs_Found,Train_Fold_Change,inter_run_robustness,intra_run_robustness,total_robustness_factor,robust_potency,robust_avg_fold_change
Paenibacillus,early,0.019359801,0.019156014,55.787234,0.98947368,17.234934,20,15.0565743054113,1,0.98947368,0.98947368,0.01915601353953768,17.234934
Genus_NA_Rep_ASV69,early,0.012793046,0.012793046,22.073684,1,3.8494352,20,4.04149201081092,1,1,1,0.012793046,3.8494352
Kitasatospora,early,0.0083548678,0.0079151379,5.7333333,0.94736842,5.2128576,20,4.43522785200173,1,0.94736842,0.94736842,0.007915137906994876,5.2128576
Bacillus,early,0.0078871471,0.0078871471,44.452632,1,2.6020165,20,3.10992053073294,1,1,1,0.0078871471,2.6020165
Mycobacterium,early,0.0066503328,0.0066503328,69.4,1,2.7468032,20,2.53494223028735,1,1,1,0.0066503328,2.7468032
Candidatus.Udaeobacter,early,0.0056379986,0.0056379986,40.231579,1,3.0073789,20,3.43435385172783,1,1,1,0.0056379986,3.0073789
Pseudolabrys,early,0.0052959081,0.0052959081,28.431579,1,2.3048275,20,2.31489685716136,1,1,1,0.0052959081,2.3048275
Genus_NA_Rep_ASV750,early,0.0045554517,0.0045074996,8.0212766,0.98947368,2.7749839,20,3.01518958626797,1,0.98947368,0.98947368,0.0045074995576612565,2.7749839
Genus_NA_Rep_ASV200,early,0.0039095427,0.0039095427,36.694737,1,2.5435518,20,2.6051100978072,1,1,1,0.0039095427,2.5435518
Genus_NA_Rep_ASV627,early,0.0026075099,0.0026075099,13.978947,1,2.7496416,20,2.75095328412175,1,1,1,0.0026075099,2.7496416
Genus_NA_Rep_ASV45,early,0.0025088375,0.0025088375,26.505263,1,2.2832847,20,2.13863564241116,1,1,1,0.0025088375,2.2832847
Terrabacter,early,0.0024384482,0.0024384482,17.968421,1,2.1078624,20,1.78720859161374,1,1,1,0.0024384482,2.1078624
Bryobacter,early,0.0023599494,0.0023351078,15.521277,0.98947368,2.4703925,20,2.75937185699336,1,0.98947368,0.98947368,0.0023351078174317923,2.4703925
Nitrosospira,early,0.0022825001,0.0019221053,2.1,0.84210526,5.6196491,20,7.02365588546652,1,0.84210526,0.84210526,0.0019221053401605257,5.6196491
Oryzihumus,early,0.001604949,0.001604949,7.6105263,1,2.1091187,20,2.15514975959953,1,1,1,0.001604949,2.1091187
Streptomyces,late,0.034821519,0.034821519,53.593406,1,3.1599089,20,3.41219483828777,1,1,1,0.034821519,3.1599089
Lechevalieria,late,0.032079629,0.032079629,47.903045,1,14.747818,20,14.4122577221954,1,1,1,0.032079629,14.747818
Genus_NA_Rep_ASV231,late,0.015349504,0.015349504,8.1695806,1,2.809339,20,3.07495132946882,1,1,1,0.015349504,2.809339
Genus_NA_Rep_ASV564,late,0.018924026,0.015279143,7.1950075,0.80706851,25.834017,20,26.3492437521804,1,0.80706851,0.80706851,0.01527298546702126,25.834017
Galbitalea,late,0.014258636,0.014258636,26.298775,1,1.8125039,20,1.77956244800314,1,1,1,0.014258636,1.8125039
Nocardioides,late,0.012471106,0.012471106,49.529354,1,1.6150332,20,1.74934567437331,1,1,1,0.012471106,1.6150332
Lapillicoccus,late,0.012421406,0.012421406,7.9963603,1,2.6878015,20,3.93366153121928,1,1,1,0.012421406,2.6878015
Genus_NA_Rep_ASV116,late,0.011241339,0.011241339,11.68239,1,2.4428515,20,1.95982853626567,1,1,1,0.011241339,2.4428515
Pedococcus.Phycicoccus,late,0.010613279,0.010613279,12.793768,1,1.9572419,20,2.70180815952,1,1,1,0.010613279,1.9572419
Rhodoferax,late,0.010257174,0.009582939,9.1285971,0.9341996,2.4907737,20,1.66587660151881,1,0.9341996,0.9341996,0.009582247847930402,2.4907737
Salinibacterium,late,0.012155755,0.0094919279,3.0820962,0.78066535,2.721458,20,1.92296511577198,1,0.78066535,0.78066535,0.00948957673158925,2.721458
Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium,late,0.0092550853,0.0092550853,10.317094,1,3.0143244,20,2.9667016939085,1,1,1,0.0092550853,3.0143244
Actinocorallia,late,0.0089926692,0.0089926692,16.83446,1,3.3628549,20,2.78258898625295,1,1,1,0.0089926692,3.3628549
Niastella,late,0.014147273,0.0089210281,6.654803,0.63048968,11.429444,20,12.0326086658641,1,0.63048968,0.63048968,0.00891970962664264,11.429444
Catenulispora,late,0.012818075,0.0087074017,22.548387,0.67993742,6.6289778,20,8.00758556328178,1,0.67993742,0.67993742,0.0087154888448665,6.6289778
Aetherobacter,middle,0.026217798,0.025671594,9.0957447,0.97916667,19.161932,20,11.9349702163815,1,0.97916667,0.97916667,0.02567159396239266,19.161932
Genus_NA_Rep_ASV23,middle,0.02280159,0.02280159,46.635417,1,5.1058051,20,5.27138757245355,1,1,1,0.02280159,5.1058051
Flavobacterium,middle,0.021741886,0.021741886,75.59375,1,7.0158905,20,7.59182822540154,1,1,1,0.021741886,7.0158905
Polaromonas,middle,0.018696071,0.018696071,7.0520833,1,7.4731032,20,6.48414854598988,1,1,1,0.018696071,7.4731032
Arenimonas,middle,0.015863162,0.015863162,11.25,1,5.0875796,20,4.53941441308474,1,1,1,0.015863162,5.0875796
Devosia,middle,0.013738528,0.013738528,39.520833,1,3.3265906,20,3.42038875082521,1,1,1,0.013738528,3.3265906
Galbitalea,middle,0.013219751,0.013219751,25.895833,1,2.4433278,20,2.54374803624136,1,1,1,0.013219751,2.4433278
Genus_NA_Rep_ASV459,middle,0.011260274,0.011025685,5.8297872,0.97916667,5.2295699,20,8.11193063568183,1,0.97916667,0.97916667,0.01102568499586758,5.2295699
Genus_NA_Rep_ASV116,middle,0.010506452,0.010506452,8.40625,1,1.8478135,20,2.554847685619,1,1,1,0.010506452,1.8478135
