Feature,Class,Avg_Potency_SHAP,Avg_Overall_Impact_SHAP,Avg_Mean_Abund_in_High_Abund_TPs,Avg_Proportion_of_TPs_with_Feature,Avg_Fold_Change_TP_vs_nonTP,Num_Runs_Found,Train_Fold_Change,inter_run_robustness,intra_run_robustness,total_robustness_factor,robust_potency,robust_avg_fold_change
Paenibacillus,early,0.028712125,0.028712125,278.4,1,12.254433,20,12.5772723336762,1,1,1,0.028712125,12.254433
Genus_NA_Rep_ASV69,early,0.0071771486,0.0071771486,152.32632,1,3.1945557,20,4.00029721606539,1,1,1,0.0071771486,3.1945557
Kitasatospora,early,0.0069698158,0.0067497163,37.108696,0.96842105,4.8973432,20,5.12032258005595,1,0.96842105,0.96842105,0.00674971633534259,4.8973432
Pseudolabrys,early,0.005920561,0.005920561,186.31579,1,2.2495402,20,2.4218939469889,1,1,1,0.005920561,2.2495402
Bacillus,early,0.0055069321,0.0055069321,331.26316,1,2.7242352,20,3.13260780838984,1,1,1,0.0055069321,2.7242352
Mycobacterium,early,0.005148665,0.005148665,468.68421,1,2.5374851,20,3.0403974889679,1,1,1,0.005148665,2.5374851
Genus_NA_Rep_ASV45,early,0.0036745692,0.0036745692,158.95789,1,2.1987163,20,2.243390361919,1,1,1,0.0036745692,2.1987163
Nitrosospira,early,0.0035691306,0.0034188514,10.593407,0.95789474,4.4749264,20,4.26819425141617,1,0.95789474,0.95789474,0.003418851428113044,4.4749264
Pantoea,early,0.0051139932,0.0032298904,14.8,0.63157895,9.8320468,20,45.046993113146,1,0.63157895,0.63157895,0.0032298904555631397,9.8320468
Pirellula,early,0.003025703,0.002962004,28.860215,0.97894737,2.6551116,20,3.21286962343117,1,0.97894737,0.97894737,0.0029620039942511098,2.6551116
Candidatus.Udaeobacter,early,0.0026225848,0.0026225848,236.51579,1,2.8653905,20,2.85943551287592,1,1,1,0.0026225848,2.8653905
Genus_NA_Rep_ASV800,early,0.0024664051,0.0024664051,64,1,2.5759637,20,2.9243271347184,1,1,1,0.0024664051,2.5759637
Genus_NA_Rep_ASV313,early,0.0022377617,0.0022377617,29.210526,1,2.7110423,20,2.91961225581742,1,1,1,0.0022377617,2.7110423
Bryobacter,early,0.0019479445,0.0019479445,103.13684,1,2.4564629,20,2.69151642635107,1,1,1,0.0019479445,2.4564629
Genus_NA_Rep_ASV200,early,0.0018821076,0.0018821076,235.86316,1,2.2022993,20,2.53995905558513,1,1,1,0.0018821076,2.2022993
Streptomyces,late,0.027029036,0.027029036,334.25942,1,2.9912636,20,3.05117328840864,1,1,1,0.027029036,2.9912636
Lechevalieria,late,0.018656043,0.018656043,383.43464,1,19.878192,20,8.76510638266812,1,1,1,0.018656043,19.878192
Genus_NA_Rep_ASV116,late,0.013104216,0.013104216,54.492754,1,1.8409894,20,1.53029553325023,1,1,1,0.013104216,1.8409894
Rhodoferax,late,0.012639735,0.012639735,37.004928,1,1.5483608,20,1.95166706283701,1,1,1,0.012639735,1.5483608
Genus_NA_Rep_ASV564,late,0.013571848,0.012384383,45.654065,0.91246377,22.587196,20,13.4400433737603,1,0.91246377,0.91246377,0.01238381959194696,22.587196
Galbitalea,late,0.011303051,0.011303051,149.09913,1,1.6229773,20,1.40893654427841,1,1,1,0.011303051,1.6229773
Promicromonospora,late,0.010866455,0.0094415303,31.027692,0.86869565,11.888254,20,26.1031994363564,1,0.86869565,0.86869565,0.009439642189420751,11.888254
Actinocorallia,late,0.0088945831,0.0088945831,147.11217,1,3.8178735,20,2.29377317974187,1,1,1,0.0088945831,3.8178735
Salinibacterium,late,0.010065871,0.0085249586,16.977733,0.84681159,1.7439973,20,1.73692115136127,1,0.84681159,0.84681159,0.00852389622624489,1.7439973
Niastella,late,0.0085724984,0.0080085181,37.415947,0.93434783,9.9593056,20,7.83297525605734,1,0.93434783,0.93434783,0.008009695277718472,9.9593056
Catenulispora,late,0.0095189287,0.0070180361,90.455348,0.7373913,4.9740693,20,6.28099779854795,1,0.7373913,0.7373913,0.0070191752087003095,4.9740693
Lapillicoccus,late,0.0067726976,0.0067726976,56.594493,1,2.6515606,20,2.59702409120798,1,1,1,0.0067726976,2.6515606
Genus_NA_Rep_ASV231,late,0.006081063,0.006081063,52.954493,1,2.6998692,20,2.26612720681023,1,1,1,0.006081063,2.6998692
Acidovorax,late,0.0074176202,0.0054704353,6.3858289,0.7373913,5.4019317,20,6.42996003367163,1,0.7373913,0.7373913,0.005469688602184259,5.4019317
Nocardioides,late,0.0051348302,0.0051348302,332.34,1,1.531515,20,1.33341918112765,1,1,1,0.0051348302,1.531515
Aetherobacter,middle,0.026663995,0.026663995,46.184649,1,12.667764,20,13.8718187427646,1,1,1,0.026663995,12.667764
Genus_NA_Rep_ASV23,middle,0.02444054,0.02444054,343.17054,1,4.7339289,20,5.18577656116796,1,1,1,0.02444054,4.7339289
Polaromonas,middle,0.020554026,0.020554026,50.303268,1,6.5766756,20,7.08395584244513,1,1,1,0.020554026,6.5766756
Flavobacterium,middle,0.020437981,0.020437981,486.32689,1,7.243218,20,8.4273417360276,1,1,1,0.020437981,7.243218
Arenimonas,middle,0.017823506,0.017823506,85.433947,1,4.9170521,20,4.37868133172027,1,1,1,0.017823506,4.9170521
Fluviicola,middle,0.014938746,0.014782676,14.685644,0.98955044,8.1711303,20,8.82461239800568,1,0.98955044,0.98955044,0.01478264267734824,8.1711303
Rhodoferax,middle,0.012171389,0.012171389,47.039846,1,3.7740429,20,2.83392912042278,1,1,1,0.012171389,3.7740429
Genus_NA_Rep_ASV954,middle,0.012381785,0.012030439,11.139785,0.97180921,8.5938298,20,9.27083332697115,1,0.97180921,0.97180921,0.01203273269923985,8.5938298
