Feature,Class,Avg_Potency_SHAP,Avg_Overall_Impact_SHAP,Avg_Mean_Abund_in_High_Abund_TPs,Avg_Proportion_of_TPs_with_Feature,Avg_Fold_Change_TP_vs_nonTP,Num_Runs_Found,Train_Fold_Change,inter_run_robustness,intra_run_robustness,total_robustness_factor,robust_potency,robust_avg_fold_change
Paenibacillus,early,0.020295176,0.020295176,51.494737,1,16.432028,20,15.8578255632107,1,1,1,0.020295176,16.432028
Mycobacterium,early,0.016127896,0.016127896,72.389474,1,2.6175975,20,2.65109380787114,1,1,1,0.016127896,2.6175975
Genus_NA_Rep_ASV69,early,0.014450723,0.014450723,19.842105,1,3.8230379,20,4.05500047523037,1,1,1,0.014450723,3.8230379
Bacillus,early,0.0096315698,0.0096315698,51.126316,1,2.8526274,20,2.86764788727734,1,1,1,0.0096315698,2.8526274
Kitasatospora,early,0.0098582838,0.0094431981,6.0659341,0.95789474,5.0310655,20,4.53337040866455,1,0.95789474,0.95789474,0.009443198197447211,5.0310655
Pseudolabrys,early,0.0089958566,0.0089958566,29.736842,1,2.2812704,20,2.33803498697337,1,1,1,0.0089958566,2.2812704
Genus_NA_Rep_ASV750,early,0.0057797378,0.0057797378,8.8947368,1,2.9035693,20,2.90061546506511,1,1,1,0.0057797378,2.9035693
Candidatus.Udaeobacter,early,0.0039363639,0.0039363639,39.936842,1,3.3496938,20,3.08251801017424,1,1,1,0.0039363639,3.3496938
Genus_NA_Rep_ASV45,early,0.0029879875,0.0029879875,26.357895,1,2.3334296,20,2.09102718427489,1,1,1,0.0029879875,2.3334296
Genus_NA_Rep_ASV200,early,0.0029437107,0.0029437107,35.094737,1,2.500478,20,2.64911092002726,1,1,1,0.0029437107,2.500478
Bryobacter,early,0.0020823453,0.0020823453,14.536842,1,2.6195832,20,2.57688982518816,1,1,1,0.0020823453,2.6195832
Gaiella,early,0.0020192105,0.0020192105,36.547368,1,2.1139415,20,2.09896202893485,1,1,1,0.0020192105,2.1139415
Genus_NA_Rep_ASV627,early,0.0018998119,0.0018998119,12.031579,1,2.7118797,20,2.79307290658453,1,1,1,0.0018998119,2.7118797
Genus_NA_Rep_ASV188,early,0.0018754912,0.0018754912,21.589474,1,1.6194956,20,1.67291794190859,1,1,1,0.0018754912,1.6194956
Pirellula,early,0.0018806578,0.001742083,3.9886364,0.92631579,3.5690655,20,3.8756812462628,1,0.92631579,0.92631579,0.001742083015726662,3.5690655
Streptomyces,late,0.034974583,0.034974583,55.28657,1,3.079168,20,3.49210122963676,1,1,1,0.034974583,3.079168
Lechevalieria,late,0.026581091,0.026581091,53.714783,1,18.776377,20,10.7968522268524,1,1,1,0.026581091,18.776377
Nocardioides,late,0.017615914,0.017615914,50.800966,1,1.6362022,20,1.72728196216009,1,1,1,0.017615914,1.6362022
