Feature,Class,Avg_Potency_SHAP,Avg_Overall_Impact_SHAP,Avg_Mean_Abund_in_High_Abund_TPs,Avg_Proportion_of_TPs_with_Feature,Avg_Fold_Change_TP_vs_nonTP,Num_Runs_Found,Train_Fold_Change,inter_run_robustness,intra_run_robustness,total_robustness_factor,robust_potency,robust_avg_fold_change
Paenibacillus,early,0.026154706,0.025876465,289.2043,0.9893617,11.96032,20,12.9044437261668,1,0.9893617,0.9893617,0.0258764643911602,11.96032
Pseudolabrys,early,0.0066115366,0.0066115366,195.3617,1,2.3743603,20,2.29111233207287,1,1,1,0.0066115366,2.3743603
Mycobacterium,early,0.005499497,0.005499497,520.55319,1,2.6565471,20,2.92656792986435,1,1,1,0.005499497,2.6565471
Genus_NA_Rep_ASV69,early,0.0053348785,0.0053348785,181.04255,1,3.7218351,20,3.46604445142305,1,1,1,0.0053348785,3.7218351
Candidatus.Udaeobacter,early,0.0049425837,0.0049425837,290.7766,1,2.9327869,20,2.76684422468322,1,1,1,0.0049425837,2.9327869
Nitrosospira,early,0.0048951892,0.0045306538,12.218391,0.92553191,4.4795485,20,4.2323190287904104,1,0.92553191,0.92553191,0.004530653810087372,4.4795485
Genus_NA_Rep_ASV45,early,0.0044970056,0.0044970056,167.37234,1,2.1388959,20,2.32502088622212,1,1,1,0.0044970056,2.1388959
Bacillus,early,0.0040191127,0.0040191127,408.45745,1,3.185331,20,2.61362230976766,1,1,1,0.0040191127,3.185331
Kitasatospora,early,0.0039878297,0.0038605585,37,0.96808511,6.3080521,20,4.14750043208776,1,0.96808511,0.96808511,0.003860558553785767,6.3080521
Genus_NA_Rep_ASV800,early,0.0038348134,0.0037940175,70.27957,0.9893617,2.7398908,20,2.75333324811817,1,0.9893617,0.9893617,0.00379401750460678,2.7398908
Gaiella,early,0.0030842098,0.0030842098,282.69149,1,2.1181495,20,2.14792909788486,1,1,1,0.0030842098,2.1181495
Genus_NA_Rep_ASV200,early,0.0028801926,0.0028801926,250.67021,1,2.2881297,20,2.45273270617479,1,1,1,0.0028801926,2.2881297
Candidatus.Solibacter,early,0.0024900306,0.0024635409,77.290323,0.9893617,2.2389304,20,2.22552148089202,1,0.9893617,0.9893617,0.00246354090746802,2.2389304
Pirellula,early,0.0022402387,0.0022164064,33.978495,0.9893617,2.9821551,20,2.85021732386416,1,0.9893617,0.9893617,0.00221640636863779,2.9821551
Genus_NA_Rep_ASV198,early,0.0019296095,0.0019296095,153.62766,1,1.6659403,20,1.74251926953818,1,1,1,0.0019296095,1.6659403
Streptomyces,late,0.032236408,0.032236408,397.65001,1,2.9608056,20,3.11089979603384,1,1,1,0.032236408,2.9608056
Lechevalieria,late,0.023416882,0.023416882,249.93413,1,10.040275,20,16.3124231235155,1,1,1,0.023416882,10.040275
Rhodoferax,late,0.012229179,0.012229179,50.403597,1,2.03653,20,1.39909752334595,1,1,1,0.012229179,2.03653
Genus_NA_Rep_ASV564,late,0.012960754,0.011232737,32.852977,0.86663373,11.77334,20,24.7952014708397,1,0.86663373,0.86663373,0.01123222658263242,11.77334
Genus_NA_Rep_ASV116,late,0.011183234,0.011183234,54.160771,1,1.7753702,20,1.58503066412447,1,1,1,0.011183234,1.7753702
Salinibacterium,late,0.012587255,0.010733378,20.326586,0.85231006,2.0781959,20,1.37909865661186,1,0.85231006,0.85231006,0.0107282440642853,2.0781959
Actinocorallia,late,0.010401951,0.010401951,87.111784,1,2.146937,20,4.21408274067768,1,1,1,0.010401951,2.146937
Nocardioides,late,0.0083570691,0.0083570691,353.91745,1,1.5248487,20,1.34270631615089,1,1,1,0.0083570691,1.5248487
Galbitalea,late,0.0082068065,0.0082068065,131.88401,1,1.5863694,20,1.43831784377067,1,1,1,0.0082068065,1.5863694
Promicromonospora,late,0.009300674,0.0076715053,38.168415,0.82440053,13.2295,20,24.6899056593814,1,0.82440053,0.82440053,0.007667480574957221,13.2295
Niastella,late,0.0076674423,0.0069860831,28.986745,0.91108915,7.0356304,20,11.4034360601716,1,0.91108915,0.91108915,0.006985723487781045,7.0356304
Dyadobacter,late,0.0060752634,0.0058662177,25.934989,0.96455973,2.5830067,20,2.14278424158004,1,0.96455973,0.96455973,0.005859954424782882,2.5830067
Lapillicoccus,late,0.0052615312,0.0052615312,54.430162,1,2.8143543,20,2.4433093457863,1,1,1,0.0052615312,2.8143543
Nonomuraea,late,0.0062790417,0.0051607824,17.265861,0.8221783,2.1289962,20,3.73971797834596,1,0.8221783,0.8221783,0.00516249183053511,2.1289962
Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium,late,0.0048650061,0.0048650061,71.751842,1,2.7716715,20,2.19343297096725,1,1,1,0.0048650061,2.7716715
Aetherobacter,middle,0.032762953,0.032762953,52.677083,1,12.077185,20,15.0716897568051,1,1,1,0.032762953,12.077185
Arenimonas,middle,0.030227488,0.030227488,85.4375,1,4.3710767,20,4.91714015129259,1,1,1,0.030227488,4.3710767
Genus_NA_Rep_ASV23,middle,0.020128108,0.020128108,325.67708,1,4.3382587,20,5.68006364397917,1,1,1,0.020128108,4.3382587
Flavobacterium,middle,0.018940072,0.018940072,567.92708,1,7.3688892,20,8.47158780342242,1,1,1,0.018940072,7.3688892
Polaromonas,middle,0.01833643,0.01833643,44.385417,1,5.9945821,20,7.71258503310033,1,1,1,0.01833643,5.9945821
Fluviicola,middle,0.013437801,0.013297824,13.694737,0.98958333,7.0771991,20,10.349702374274,1,0.98958333,0.98958333,0.01329782386145733,7.0771991
Rhodoferax,middle,0.012618148,0.012618148,47.875,1,2.7848082,20,4.03508037479912,1,1,1,0.012618148,2.7848082
Cellvibrio,middle,0.010057083,0.010057083,18.864583,1,6.086742,20,7.17111110880723,1,1,1,0.010057083,6.086742
Herpetosiphon,middle,0.0087554655,0.00857306,32.042553,0.97916667,7.3242964,20,6.88914980613033,1,0.97916667,0.97916667,0.008573059997934885,7.3242964
Tahibacter,middle,0.0089076076,0.0085364572,12.293478,0.95833333,7.7624124,20,7.06178160501486,1,0.95833333,0.95833333,0.008536457253641308,7.7624124
Genus_NA_Rep_ASV954,middle,0.0085694218,0.008480157,10.978947,0.98958333,7.7761739,20,10.2888547977478,1,0.98958333,0.98958333,0.008480156961018594,7.7761739
Luteolibacter,middle,0.0084316334,0.0084316334,27.760417,1,3.1540844,20,4.12268280078561,1,1,1,0.0084316334,3.1540844
Genus_NA_Rep_ASV459,middle,0.008399691,0.008399691,56.177083,1,6.2468208,20,4.30707762531708,1,1,1,0.008399691,6.2468208
Massilia,middle,0.0076250125,0.0076250125,147.90625,1,2.8189756,20,2.70454950138808,1,1,1,0.0076250125,2.8189756
Rhizobacter,middle,0.0072650033,0.0072650033,52.59375,1,2.7364276,20,2.5595590167383,1,1,1,0.0072650033,2.7364276
