Feature,Class,Avg_Potency_SHAP,Avg_Overall_Impact_SHAP,Avg_Mean_Abund_in_High_Abund_TPs,Avg_Proportion_of_TPs_with_Feature,Avg_Fold_Change_TP_vs_nonTP,Num_Runs_Found,Train_Fold_Change,inter_run_robustness,intra_run_robustness,total_robustness_factor,robust_potency,robust_avg_fold_change
Paenibacillus,early,0.021224686,0.020998891,48.580645,0.9893617,13.66427,20,18.9400165480436,1,0.9893617,0.9893617,0.0209988914229262,13.66427
Mycobacterium,early,0.019506781,0.019506781,73.319149,1,2.403631,20,2.94337062302073,1,1,1,0.019506781,2.403631
Genus_NA_Rep_ASV69,early,0.01566488,0.01566488,20.170213,1,3.6837042,20,4.20748250688543,1,1,1,0.01566488,3.6837042
Bacillus,early,0.01036656,0.01036656,57.297872,1,2.9579768,20,2.74405839735514,1,1,1,0.01036656,2.9579768
Genus_NA_Rep_ASV750,early,0.0083494557,0.0082606317,8.7849462,0.9893617,2.6786271,20,3.14716311984143,1,0.9893617,0.9893617,0.00826063168542669,2.6786271
Pseudolabrys,early,0.0070574674,0.0070574674,28.744681,1,2.192261,20,2.43442851756171,1,1,1,0.0070574674,2.192261
Candidatus.Udaeobacter,early,0.0062403678,0.0062403678,44.829787,1,3.0643688,20,3.40844018576759,1,1,1,0.0062403678,3.0643688
Kitasatospora,early,0.0057138983,0.0055315399,5.4065934,0.96808511,5.544208,20,4.26401844442049,1,0.96808511,0.96808511,0.005531539864284313,5.544208
Genus_NA_Rep_ASV45,early,0.0051272477,0.0051272477,24.659574,1,1.9833066,20,2.50806756475881,1,1,1,0.0051272477,1.9833066
Genus_NA_Rep_ASV200,early,0.0043043193,0.0043043193,33.914894,1,2.3072454,20,2.87619630329225,1,1,1,0.0043043193,2.3072454
Gaiella,early,0.0035989644,0.0035989644,41.606383,1,2.020276,20,2.24741706205494,1,1,1,0.0035989644,2.020276
Genus_NA_Rep_ASV627,early,0.003177759,0.003177759,12.861702,1,2.6237138,20,2.8972145128769,1,1,1,0.003177759,2.6237138
Genus_NA_Rep_ASV188,early,0.0025156874,0.0025156874,20.053191,1,1.4645589,20,1.85716464569866,1,1,1,0.0025156874,1.4645589
Bryobacter,early,0.0018063661,0.0017871495,12.666667,0.9893617,2.6161516,20,2.58270418643498,1,0.9893617,0.9893617,0.00178714943551837,2.6161516
Kribbella,early,0.0017009705,0.0017009705,12.734043,1,1.6860816,20,1.88704318922928,1,1,1,0.0017009705,1.6860816
Streptomyces,late,0.04065514,0.04065514,64.743148,1,3.175548,20,3.45605082991421,1,1,1,0.04065514,3.175548
Lechevalieria,late,0.029207719,0.029207719,39.013031,1,11.848237,20,16.3647143322211,1,1,1,0.029207719,11.848237
Nocardioides,late,0.018624581,0.018624581,56.315271,1,1.7228291,20,1.63058429517706,1,1,1,0.018624581,1.7228291
Genus_NA_Rep_ASV564,late,0.017315922,0.014515954,6.1319838,0.83810721,21.227751,20,28.7334592427266,1,0.83810721,0.83810721,0.01451259907599762,21.227751
Actinocorallia,late,0.012304801,0.012304801,13.910381,1,2.3654776,20,3.91374173667568,1,1,1,0.012304801,2.3654776
Lapillicoccus,late,0.011830455,0.011573323,9.1826746,0.97825676,3.3220344,20,3.0387616834826,1,0.97825676,0.97825676,0.011573222577625799,3.3220344
Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium,late,0.010659326,0.010659326,11.04188,1,3.0784356,20,2.91290567020193,1,1,1,0.010659326,3.0784356
Galbitalea,late,0.0098449998,0.0098449998,22.591613,1,1.8716058,20,1.77183917039211,1,1,1,0.0098449998,1.8716058
Rhodoferax,late,0.010170092,0.0097280763,8.915895,0.95651352,2.4437485,20,1.89557453385764,1,0.95651352,0.95651352,0.009727830497643841,2.4437485
Genus_NA_Rep_ASV116,late,0.0096595079,0.0096595079,10.255392,1,2.1761453,20,2.24245619705429,1,1,1,0.0096595079,2.1761453
Promicromonospora,late,0.011994869,0.0095305659,6.9702703,0.79462072,13.708174,20,32.5362317789372,1,0.79462072,0.79462072,0.009531371441085679,13.708174
Salinibacterium,late,0.010395828,0.0086977743,3.7600202,0.83593329,2.4987418,20,2.03439325040229,1,0.83593329,0.83593329,0.00869021870231412,2.4987418
Genus_NA_Rep_ASV231,late,0.0084132207,0.0084132207,6.9327855,1,2.7185498,20,3.11889973305964,1,1,1,0.0084132207,2.7185498
Niastella,late,0.0090464725,0.0068839805,4.7024743,0.76082434,9.1789405,20,14.5191040454028,1,0.76082434,0.76082434,0.006882776469140649,9.1789405
Marmoricola,late,0.0063871884,0.0063871884,17.449897,1,1.7320593,20,1.64303102347118,1,1,1,0.0063871884,1.7320593
Aetherobacter,middle,0.031286491,0.030634689,8.106383,0.97916667,15.124155,20,15.7594085688228,1,0.97916667,0.97916667,0.03063468920845497,15.124155
Genus_NA_Rep_ASV23,middle,0.02556647,0.02556647,48.3125,1,4.8972412,20,5.5161058941323,1,1,1,0.02556647,4.8972412
Arenimonas,middle,0.020736243,0.020736243,11.916667,1,5.0306886,20,4.56666666524,1,1,1,0.020736243,5.0306886
Flavobacterium,middle,0.019102846,0.019102846,87.020833,1,7.023433,20,7.68948986907632,1,1,1,0.019102846,7.023433
Polaromonas,middle,0.018973117,0.018973117,6.5520833,1,6.6463579,20,7.18883546453139,1,1,1,0.018973117,6.6463579
Devosia,middle,0.012728397,0.012728397,36.083333,1,3.5015485,20,3.26900505580481,1,1,1,0.012728397,3.5015485
